"Unique ID";"Date Taken (America/New_York)";"Time Taken (America/New_York)";"Time Spent";"Q1 - Which Title Best Fits your Current Role?";"Q2 - Did you switch careers into Data?";"Q3 - Current Yearly Salary (in USD)";"Q4 - What Industry do you work in?";"Q5 - Favorite Programming Language";"Q6 - Happiness with your Current Position Salary";"Q6 - Happiness with Current Position Work/Life Balance";"Q6 - Happiness with Current Position Coworkers";"Q6 - Happiness with Current Position Management";"Q6 - Happiness with Current Position Upward Mobility";"Q6 - Happiness with Current Position Learning New Things";"Q7 - How difficult was it for you to break into Data?";"Q8 - Most important thing in a new job today";"Q9 - Male/Female?";"Q10 - Current Age";"Q11 - Which Country do you live in?";"Q12 - Highest Level of Education";"Q13 - Ethnicity"
"62a33b3db4da29969c62df3d";"2022-06-10";"08:38:00";"00:00:44";"Data Analyst";"Yes";"106k-125k";"Healthcare";"Python";9;9;7;5;5;7;"Very Difficult";"Remote Work";"Male";26;"United States";"non";"White or Caucasian"
"62a33ba1bae91e4b8b82e35c";"2022-06-10";"08:40:00";"00:01:30";"Data Analyst";"No";"41k-65k";"Finance";"R";1;2;5;2;1;3;"Very Difficult";"Remote Work";"Male";36;"Canada";"non";"Asian or Asian American"
"62a33c2cbc6861bf3176bec1";"2022-06-10";"08:42:00";"00:02:18";"Data Engineer";"No";"0-40k";"Other";"Python";0;8;7;5;7;7;"Easy";"Good Work/Life Balance";"Male";23;"Other";"non";"Black or African American"
"62a33c8624a26260273822f9";"2022-06-10";"08:43:00";"00:02:10";"Data Analyst";"Yes";"150k-225k";"Finance";"R";10;6;7;10;7;10;"Very Easy";"Remote Work";"Female";35;"Canada";"non";"White or Caucasian"
"62a33c91f3072dd892621e03";"2022-06-10";"08:44:00";"00:01:51";"Data Analyst";"Yes";"41k-65k";"Healthcare";"R";1;4;4;4;0;1;"Difficult";"Better Salary";"Male";44;"United States";"non";"Black or African American"
"62a33cb6cf25554317300177";"2022-06-10";"08:44:00";"00:02:34";"Data Analyst";"Yes";"0-40k";"Other";"Python";2;3;3;3;3;2;"Difficult";"Good Work/Life Balance";"Male";33;"Other";"non";"Black or African American"
"62a33cb72e54c9003e531c65";"2022-06-10";"08:44:00";"00:01:15";"Data Scientist";"Yes";"0-40k";"Finance";"Python";0;6;6;6;6;5;"Difficult";"Better Salary";"Male";24;"Other";"non";"Black or African American"
"62a33cd30f8c8599d5af0f8f";"2022-06-10";"08:45:00";"00:01:25";"Data Engineer";"Yes";"125k-150k";"Other";"SQL";10;5;5;5;5;9;"Neither easy nor difficult";"Remote Work";"Male";35;"United States";"non";"Asian or Asian American"
"62a33cd3cf255543173001d9";"2022-06-10";"08:45:00";"00:02:10";"Data Analyst";"Yes";"86k-105k";"Healthcare";"R";4;4;4;4;5;5;"Neither easy nor difficult";"Better Salary";"Male";35;"United States";"non";"Asian or Asian American"
"62a33cd8bc6861bf3176c05f";"2022-06-10";"08:45:00";"00:01:27";"Data Analyst";"Yes";"41k-65k";"Telecommunication";"Python";2;0;3;3;0;4;"Very Difficult";"Better Salary";"Male";28;"United States";"non";"Hispanic or Latino"
"62a33ce918134ddc75ce8c30";"2022-06-10";"08:45:00";"00:01:29";"Data Analyst";"Yes";"66k-85k";"Other";"Python";10;10;8;8;8;10;"Neither easy nor difficult";"Remote Work";"Male";37;"Canada";"non";"White or Caucasian"
